date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
4/3/2004,2004,1,19,20,34,42,43,0,0,https://lottery.hk/en/mark-six/results/2004-03-04
6/3/2004,2004,9,10,26,31,35,41,"30,397,005",1,https://lottery.hk/en/mark-six/results/2004-03-06
9/3/2004,2004,10,21,26,30,31,42,0,0,https://lottery.hk/en/mark-six/results/2004-03-09
11/3/2004,2004,14,23,33,35,36,43,0,0,https://lottery.hk/en/mark-six/results/2004-03-11
16/3/2004,2004,7,10,18,23,37,39,0,0,https://lottery.hk/en/mark-six/results/2004-03-16
18/3/2004,2004,2,3,4,25,36,47,0,0,https://lottery.hk/en/mark-six/results/2004-03-18
20/3/2004,2004,6,21,28,36,44,49,0,0,https://lottery.hk/en/mark-six/results/2004-03-20
23/3/2004,2004,4,5,17,20,28,39,"26,595,530",2,https://lottery.hk/en/mark-six/results/2004-03-23
25/3/2004,2004,7,10,13,21,22,23,0,0,https://lottery.hk/en/mark-six/results/2004-03-25
30/3/2004,2004,9,11,21,27,37,45,"2,587,115",4,https://lottery.hk/en/mark-six/results/2004-03-30
2/4/2004,2004,11,12,13,22,26,31,"30,315,305",1,https://lottery.hk/en/mark-six/results/2004-04-02
6/4/2004,2004,3,7,13,25,31,33,0,0,https://lottery.hk/en/mark-six/results/2004-04-06
8/4/2004,2004,1,7,13,32,37,48,0,0,https://lottery.hk/en/mark-six/results/2004-04-08
10/4/2004,2004,9,12,17,42,47,49,0,0,https://lottery.hk/en/mark-six/results/2004-04-10
13/4/2004,2004,1,23,24,30,47,49,0,0,https://lottery.hk/en/mark-six/results/2004-04-13
15/4/2004,2004,23,31,34,43,45,47,"39,438,225",1,https://lottery.hk/en/mark-six/results/2004-04-15
20/4/2004,2004,6,9,12,19,22,25,"1,250,000",4,https://lottery.hk/en/mark-six/results/2004-04-20
22/4/2004,2004,8,32,36,39,44,46,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-04-22
24/4/2004,2004,24,30,39,43,44,48,"41,393,225",1,https://lottery.hk/en/mark-six/results/2004-04-24
27/4/2004,2004,7,11,15,29,46,49,0,0,https://lottery.hk/en/mark-six/results/2004-04-27
29/4/2004,2004,4,19,26,30,31,34,"10,517,185",1,https://lottery.hk/en/mark-six/results/2004-04-29
4/5/2004,2004,16,21,29,37,46,47,"5,568,805",1,https://lottery.hk/en/mark-six/results/2004-05-04
6/5/2004,2004,8,28,33,36,38,47,0,0,https://lottery.hk/en/mark-six/results/2004-05-06
11/5/2004,2004,7,11,13,22,24,37,0,0,https://lottery.hk/en/mark-six/results/2004-05-11
13/5/2004,2004,9,13,21,37,40,48,"7,838,200",2,https://lottery.hk/en/mark-six/results/2004-05-13
15/5/2004,2004,7,8,15,27,34,49,0,0,https://lottery.hk/en/mark-six/results/2004-05-15
18/5/2004,2004,10,21,23,30,43,49,0,0,https://lottery.hk/en/mark-six/results/2004-05-18
20/5/2004,2004,4,18,31,40,45,47,0,0,https://lottery.hk/en/mark-six/results/2004-05-20
